[train epoch=0 slice=10 indices=[406, 185, 115, 90, 840, 996, 808, 408, 727, 271, 163, 166, 108, 671, 156, 509, 396, 847, 701, 473]]
fes=50	x=[-3.7259,-1.3103,-1.6247,-0.7438,3.1574,-2.3621,-0.8109,2.9911,-0.6988,-1.3220,-4.3845,0.5682,0.3409,0.8310,-1.3363,-1.4201,-1.9783,0.3099,-0.5546,1.9332]	y=78.3928
fes=1600	x=[0.6690,0.1294,-0.3946,-0.2166,-0.2271,-0.6677,0.8666,0.3152,-0.6286,-0.0854,-0.1679,0.5172,0.5591,-0.2019,0.0913,-1.1979,-0.2401,0.2239,0.2076,-0.4716]	y=4.8827
fes=1650	x=[0.6690,0.1294,-0.3946,-0.2166,-0.2271,-0.6677,0.8666,0.3152,-0.6286,-0.0854,-0.1679,0.5172,0.5591,-0.2019,0.0913,-1.1979,-0.2401,0.2239,0.2076,-0.4716]	y=4.8827
fes=1700	x=[0.8024,-0.2706,0.1936,-0.2642,-0.2362,0.7304,-0.0026,-0.4345,-0.2599,-0.0776,0.3704,0.1010,-0.0517,-0.7482,-0.2725,-0.9149,0.2536,0.4005,-0.0333,0.8692]	y=4.2786
fes=1750	x=[0.8024,-0.2706,0.1936,-0.2642,-0.2362,0.7304,-0.0026,-0.4345,-0.2599,-0.0776,0.3704,0.1010,-0.0517,-0.7482,-0.2725,-0.9149,0.2536,0.4005,-0.0333,0.8692]	y=4.2786
fes=1800	x=[0.8024,-0.2706,0.1936,-0.2642,-0.2362,0.7304,-0.0026,-0.4345,-0.2599,-0.0776,0.3704,0.1010,-0.0517,-0.7482,-0.2725,-0.9149,0.2536,0.4005,-0.0333,0.8692]	y=4.2786
fes=1850	x=[0.2263,0.4911,0.4185,-0.0067,-0.0445,0.1674,-0.1829,-0.4878,-0.0504,0.5023,0.3143,0.1394,-0.1384,0.0425,0.8323,-0.6183,0.1807,-0.5571,0.1586,-0.3694]	y=2.7427
fes=1900	x=[0.2263,0.4911,0.4185,-0.0067,-0.0445,0.1674,-0.1829,-0.4878,-0.0504,0.5023,0.3143,0.1394,-0.1384,0.0425,0.8323,-0.6183,0.1807,-0.5571,0.1586,-0.3694]	y=2.7427
fes=1950	x=[0.2263,0.4911,0.4185,-0.0067,-0.0445,0.1674,-0.1829,-0.4878,-0.0504,0.5023,0.3143,0.1394,-0.1384,0.0425,0.8323,-0.6183,0.1807,-0.5571,0.1586,-0.3694]	y=2.7427
fes=2000	x=[0.2263,0.4911,0.4185,-0.0067,-0.0445,0.1674,-0.1829,-0.4878,-0.0504,0.5023,0.3143,0.1394,-0.1384,0.0425,0.8323,-0.6183,0.1807,-0.5571,0.1586,-0.3694]	y=2.7427
fes=50	x=[2.6299,-2.0958,-1.5733,0.7865,1.4655,3.2896,-0.4503,3.3904,-0.0735,3.9807,-0.2993,-4.0783,-4.4575,-1.8936,2.2411,1.5733,-0.6901,0.2424,0.3364,-2.5941]	y=109.9729
fes=100	x=[2.6299,-2.0958,-1.5733,0.7865,1.4655,3.2896,-0.4503,3.3904,-0.0735,3.9807,-0.2993,-4.0783,-4.4575,-1.8936,2.2411,1.5733,-0.6901,0.2424,0.3364,-2.5941]	y=109.9729
fes=150	x=[-2.1587,2.8918,1.1863,-1.4091,2.1397,-3.7087,-2.1146,0.8135,1.0428,-4.6242,2.1338,1.6587,-4.1972,1.0816,-0.5917,1.0415,-0.2756,2.1136,-1.1967,-1.9919]	y=99.8208
fes=200	x=[1.4025,-0.2379,3.9918,-0.7935,-1.3242,-0.2430,-3.2661,-2.6008,1.4255,-0.5781,2.5128,2.9227,-0.1647,1.6690,3.4924,-1.9526,-1.4826,-1.7179,2.6045,-3.5446]	y=98.3730
fes=250	x=[-0.7255,-2.4331,-2.7963,-0.7913,-0.4183,0.3829,0.2456,-0.3188,0.3812,2.3442,-0.7650,-0.8456,-3.2570,2.6402,2.1599,-0.4368,2.6600,1.7087,-1.0274,2.5095]	y=62.0987
fes=300	x=[-0.0150,-2.4331,-2.7963,-0.7913,-0.4183,0.3829,0.2456,-0.3188,0.3812,2.3442,-0.7650,-2.4578,-3.2570,2.6402,2.1599,-0.5386,-0.5037,1.7087,0.0004,2.5095]	y=59.1202
fes=350	x=[-2.2348,0.7659,-0.2562,0.4210,0.4222,0.9617,-0.0299,-1.1048,-2.1071,0.6917,-3.1160,1.4036,-3.1321,2.3564,1.5378,1.8377,-0.1511,-0.1779,2.2561,1.3381]	y=52.7862
fes=400	x=[-2.2348,0.7659,-0.2562,0.4210,0.4222,0.9617,-0.0299,-1.1048,-2.1071,0.6917,-3.1160,1.4036,-3.1321,2.3564,1.5378,1.8377,-0.1511,-0.1779,2.2561,1.3381]	y=52.7862
fes=450	x=[-1.9844,1.1186,0.3484,-0.0399,1.3939,2.7137,1.4607,2.9410,-1.2274,0.0090,-1.3652,1.8383,0.0329,2.6753,1.8078,1.1411,-1.2758,0.1985,-0.6247,0.4204]	y=46.1147
fes=500	x=[-1.4762,-0.3130,1.1004,-1.9902,-2.0774,0.0207,0.1851,1.4784,1.4948,0.2773,1.3435,-0.2031,-0.6866,0.6527,3.0373,-1.1205,-1.3346,-2.1938,1.2698,0.4490]	y=37.9293
fes=550	x=[-1.4762,-0.3130,1.1004,-1.9902,-2.0774,0.0207,0.1851,1.4784,1.4948,0.2773,1.3435,-0.2031,-0.6866,0.6527,3.0373,-1.1205,-1.3346,-2.1938,1.2698,0.4490]	y=37.9293
fes=600	x=[-1.4762,-0.3130,1.1004,-1.9902,-2.0774,0.0207,0.1851,1.4784,1.4948,0.2773,1.3435,-0.2031,-0.6866,0.6527,3.0373,-1.1205,-1.3346,-2.1938,1.2698,0.4490]	y=37.9293
fes=650	x=[1.2592,0.6847,2.1811,-1.4983,0.0160,1.3993,-1.6796,0.1551,2.5419,-0.2789,-0.5779,1.2884,-1.1225,-0.8821,1.5568,0.1983,-1.0419,2.6201,-0.5152,-0.7287]	y=35.6403
