[train epoch=0 slice=8 indices=[611, 63, 778, 278, 376, 198, 961, 514, 346, 4, 71, 756, 733, 916, 138, 947, 690, 159, 78, 167]]
fes=1650	x=[-1.3778,1.4692,0.0578,0.3065,-0.3643,-0.2730,0.4922,-0.1050,0.2976,-0.9590,-1.0956,-0.1666,0.4308,0.0478,-0.0788,0.7562,-0.1513,-0.4186,0.0162,-0.9374]	y=8.6941
fes=1700	x=[-1.3778,1.4692,0.0578,0.3065,-0.3643,-0.2730,0.4922,-0.1050,0.2976,-0.9590,-1.0956,-0.1666,0.4308,0.0478,-0.0788,0.7562,-0.1513,-0.4186,0.0162,-0.9374]	y=8.6941
fes=1750	x=[-0.3072,1.2529,1.1017,-0.7145,0.7115,0.0340,-0.1237,-0.1988,0.0118,0.1116,0.1866,0.3943,-0.4455,0.0782,-0.7439,-0.1846,0.3971,0.3392,-0.3006,-0.8043]	y=5.9554
fes=1800	x=[-0.3072,1.2529,1.1017,-0.7145,0.7115,0.0340,-0.1237,-0.1988,0.0118,0.1116,0.1866,0.3943,-0.4455,0.0782,-0.7439,-0.1846,0.3971,0.3392,-0.3006,-0.8043]	y=5.9554
fes=1850	x=[0.7721,0.0455,0.7744,0.2562,0.3722,-0.1491,0.2813,0.2813,0.4520,-0.3653,0.7957,0.4152,-0.0736,-0.2554,0.8117,0.1789,-0.3158,0.6986,-0.1229,-0.6586]	y=4.5239
fes=1900	x=[0.7721,0.0455,0.7744,0.2562,0.3722,-0.1491,0.2813,0.2813,0.4520,-0.3653,0.7957,0.4152,-0.0736,-0.2554,0.8117,0.1789,-0.3158,0.6986,-0.1229,-0.6586]	y=4.5239
fes=1950	x=[0.7721,0.0455,0.7744,0.2562,0.3722,-0.1491,0.2813,0.2813,0.4520,-0.3653,0.7957,0.4152,-0.0736,-0.2554,0.8117,0.1789,-0.3158,0.6986,-0.1229,-0.6586]	y=4.5239
fes=2000	x=[0.2946,-0.1946,-0.3929,-0.4787,-0.5298,0.3687,0.4408,-0.1277,-0.0952,0.1559,0.6068,-0.1915,-0.8209,0.2108,-0.1098,-0.4684,-0.4009,-0.6035,0.1611,0.0573]	y=3.0775
fes=50	x=[1.0175,2.4636,-1.7340,-0.1595,-2.8997,0.5338,-3.4718,-0.6194,-1.4385,1.6005,0.4489,1.1513,2.1568,-3.9640,-1.8211,-0.4231,2.7865,-1.4936,-2.7190,-3.2555]	y=89.2714
fes=100	x=[1.0175,2.4636,-1.7340,-0.1595,-2.8997,0.5338,-3.4718,-0.6194,-1.4385,1.6005,0.4489,1.1513,2.1568,-3.9640,-1.8211,-0.4231,2.7865,-1.4936,-2.7190,-3.2555]	y=89.2714
fes=150	x=[1.1193,0.4211,-0.1301,-0.6856,1.3244,-0.2053,-3.1458,-4.8198,-0.4723,1.3618,-1.9876,-0.4960,3.1116,2.3661,-0.4450,1.8603,-0.3091,-1.2497,0.2620,1.3715]	y=65.6598
fes=200	x=[1.1193,0.4211,-0.1301,-0.6856,1.3244,-0.2053,-3.1458,-4.8198,-0.4723,1.3618,-1.9876,-0.4960,3.1116,1.5065,-0.4450,1.8603,-0.3091,-1.2497,0.2620,1.3715]	y=62.3309
fes=250	x=[1.1193,0.4211,-0.1301,-0.6856,1.3244,-0.2053,-3.1458,-4.8198,-0.4723,1.3618,-1.9876,-0.4960,3.1116,1.5065,-0.4450,1.8603,-0.3091,-1.2497,0.2620,1.3715]	y=62.3309
fes=300	x=[0.3122,0.5602,-2.2353,-1.1777,-2.3017,-2.4538,-0.6291,-0.5963,1.8399,1.8440,2.4424,-1.7625,-0.4766,-2.0060,1.2548,2.6728,-0.6721,-1.3490,0.3178,-2.6151]	y=56.9030
fes=350	x=[1.0175,2.4636,-1.7340,-0.1595,-2.8997,-1.0107,0.3201,-0.6194,-1.4385,3.0059,1.0499,1.1513,2.1568,-0.0065,-1.8211,-0.4231,2.7865,-1.4936,-0.7225,-1.2964]	y=53.9305
fes=400	x=[1.0175,2.4636,-1.7340,-0.1595,-2.8997,-1.0107,0.3201,-0.6194,-1.4385,3.0059,1.0499,1.1513,2.1568,-0.0065,-1.8211,-0.4231,2.7865,-1.4936,-0.7225,-1.2964]	y=53.9305
fes=450	x=[1.3304,0.5253,-0.3822,0.4436,-0.4995,-1.7355,-0.4958,0.8013,1.2062,1.4977,-0.2284,3.6529,-1.9058,-1.7148,0.1733,0.8506,4.3488,0.7378,1.3509,-0.0196]	y=52.2404
fes=500	x=[-1.9596,0.6449,0.7202,-1.5669,0.2674,2.6533,1.5850,-3.2928,-0.9233,-0.8203,0.0161,-2.9422,-1.0910,1.1977,1.5231,0.5927,0.4470,-0.8677,-1.1083,-0.6230]	y=45.7431
fes=550	x=[0.9212,-2.3966,2.0295,-1.0583,-0.8526,0.7514,0.3012,0.1666,-2.5088,0.9353,-0.9101,-0.3136,-1.1566,-0.8170,1.0602,0.5055,-1.7706,-2.3434,0.4396,-1.3945]	y=35.4858
