[train epoch=0 slice=4 indices=[637, 479, 380, 7, 47, 446, 298, 681, 368, 778, 103, 151, 752, 337, 232, 799, 621, 474, 454, 222]]
fes=1650	x=[0.1925,0.5677,1.5495,-0.4581,-0.8784,0.3341,-0.6122,0.4289,0.6119,-0.1294,0.0312,0.0631,-0.6493,0.5541,1.0395,0.3320,-0.4595,0.4518,0.2877,-0.2337]	y=7.2801
fes=1700	x=[0.1925,0.5677,1.5495,-0.4581,-0.8784,0.3341,-0.6122,0.4289,0.6119,-0.1294,0.0312,0.0631,-0.6493,0.5541,1.0395,0.3320,-0.4595,0.4518,0.2877,-0.2337]	y=7.2801
fes=1750	x=[0.1925,0.5677,1.5495,-0.4581,-0.0962,0.3341,-0.6122,0.4289,-0.5838,-0.1294,0.0312,0.0631,-0.6493,0.5541,1.0395,0.3320,-0.4595,-0.8782,0.2877,-0.2337]	y=7.0513
fes=1800	x=[0.1925,0.5677,1.5495,-0.4581,-0.0962,0.3341,-0.6122,0.4289,-0.5838,-0.1294,0.0312,0.0631,-0.6493,0.5541,1.0395,0.3320,-0.4595,-0.8782,0.2877,-0.2337]	y=7.0513
fes=1850	x=[0.1925,0.5677,1.5495,-0.4581,-0.0962,0.3341,-0.6122,0.4289,-0.5838,-0.1294,0.0312,0.0631,-0.6493,0.5541,1.0395,0.3320,-0.4595,-0.8782,0.2877,-0.2337]	y=7.0513
fes=1900	x=[0.1925,0.5677,1.5495,-0.4581,-0.0962,0.3341,-0.6122,0.4289,-0.5838,-0.1294,0.0312,0.0631,-0.6493,0.5541,1.0395,0.3320,-0.4595,-0.8782,0.2877,-0.2337]	y=7.0513
fes=1950	x=[-0.1507,-0.2513,-0.6591,-0.1475,0.2583,-0.6560,-0.2451,0.0377,-0.3599,-1.6709,0.3205,-0.2113,0.3932,1.0249,0.2012,-0.9273,-0.4519,-0.3084,0.4649,-0.0303]	y=6.7909
fes=2000	x=[-0.1507,-0.2513,-0.6591,-0.1475,0.2583,-0.6560,-0.2451,0.0377,-0.3599,-1.6709,0.3205,-0.2113,0.3932,1.0249,0.2012,-0.9273,-0.4519,-0.3084,0.4649,-0.0303]	y=6.7909
fes=50	x=[-1.7404,-2.5257,-0.1918,-2.8805,-2.7370,3.2591,2.2712,0.7154,-1.1167,-0.0759,-0.1526,2.9484,-0.5430,-1.5906,-1.8114,-1.2485,3.9211,1.1812,-0.5280,2.0551]	y=80.4309
fes=100	x=[-2.4286,-1.4516,0.4696,-1.2365,-0.8553,3.2591,2.2712,0.7154,-1.1167,1.0337,-0.9892,2.9484,-2.7482,-2.8006,-2.3261,-0.6558,3.1043,-0.5859,-1.0102,1.6364]	y=73.6807
