[train epoch=0 slice=6 indices=[916, 292, 4, 285, 539, 928, 813, 585, 149, 600, 845, 760, 104, 449, 236, 471, 138, 423, 74, 820]]
fes=50	x=[0.3589,1.6943,3.9673,-2.2179,2.7811,1.1641,-0.8454,4.4640,-1.4074,-2.2124,-2.2810,0.2141,-1.8703,-2.0810,-3.2401,2.3709,3.2160,-2.3251,-1.3359,1.4933]	y=109.2246
fes=250	x=[-2.7004,1.6762,2.5816,-1.3195,-1.0316,-0.7122,-0.5280,3.5348,-0.3381,1.8185,-1.2536,-0.0124,1.0381,1.1108,2.7976,2.6589,1.8188,-0.9222,0.9522,-3.0149]	y=69.2082
fes=300	x=[-0.1875,1.5132,2.8053,-1.0517,0.3146,-1.7833,-1.9573,1.4514,2.6682,-3.1934,0.4294,-1.2454,1.3735,-1.1450,-1.0533,-1.8126,-2.9063,-1.5567,2.2407,-0.1958]	y=63.0918
fes=350	x=[0.4522,0.0917,-0.1769,-0.6315,-0.8879,1.0931,3.5344,2.3087,0.5661,2.9310,1.1562,-1.0261,1.3445,0.0239,0.2153,1.6022,0.0200,2.1496,-0.5515,0.1869]	y=41.1311
fes=400	x=[0.4522,0.0917,-0.1769,-0.6315,-0.8879,1.0931,3.5344,2.3087,0.5661,2.9310,1.1562,-1.0261,1.3445,0.0239,0.2153,1.6022,0.0200,2.1496,-0.5515,0.1869]	y=41.1311
fes=450	x=[0.6588,0.0917,-0.5982,-1.3857,-0.0135,-0.3966,2.5368,2.1621,0.5661,2.4696,1.1562,-0.4308,2.8293,0.0239,-0.6779,1.4073,0.0200,1.4363,1.1139,0.1869]	y=35.7144
fes=500	x=[0.6343,2.1019,-0.5977,1.5483,0.7903,0.3096,-2.2742,0.6670,0.0736,0.6235,-0.2450,-0.9297,-1.3173,-0.3574,-2.2774,0.7596,3.1986,0.3187,0.3385,-1.5411]	y=35.6790
fes=550	x=[0.4576,-0.8645,0.2154,-0.5782,0.3796,-0.8902,1.1959,-1.5272,0.4931,-1.8126,1.0706,-1.9410,0.2203,-1.3125,0.7540,1.0911,0.4584,-0.6726,0.3685,-2.6032]	y=25.5844
fes=600	x=[0.4576,-0.8645,0.2154,-0.5782,0.3796,-0.8902,1.1959,-1.5272,0.4931,-1.8126,1.0706,-1.9410,0.2203,-1.3125,0.7540,1.0911,0.4584,-0.6726,0.3685,-2.6032]	y=25.5844
fes=650	x=[0.4576,-0.8645,0.2154,-0.5782,0.3796,-0.8902,1.1959,-1.5272,0.4931,-1.8126,1.0706,-1.9410,0.2203,-1.3125,0.7540,1.0911,0.4584,-0.6726,0.3685,-2.6032]	y=25.5844
fes=700	x=[0.4576,-0.8645,0.2154,-0.5782,0.3796,-0.8902,1.1959,-1.5272,0.4931,-1.8126,1.0706,-1.9410,0.2203,-1.3125,0.7540,1.0911,0.4584,-0.6726,0.3685,-2.6032]	y=25.5844
fes=750	x=[-1.7360,-0.8645,0.2154,-0.5782,0.3796,-0.8902,-0.1874,-1.3865,0.4931,1.6096,1.3956,-1.9410,0.2203,-1.3125,0.7540,-0.9755,0.4584,-1.1452,0.3685,-0.4976]	y=20.7818
fes=800	x=[-1.7360,-0.8645,0.2154,-0.5782,0.3796,-0.8902,-0.1874,-1.3865,0.4931,1.6096,1.3956,-1.9410,0.2203,-1.3125,0.7540,-0.9755,0.4584,-1.1452,0.3685,-0.4976]	y=20.7818
fes=850	x=[0.0151,0.0185,-0.6967,0.6371,-0.9849,-0.1839,0.7027,-1.3335,-1.3227,0.8748,0.8357,-1.8839,-0.7527,0.6064,0.1414,0.1079,1.6825,0.0693,-1.4381,0.2669]	y=16.8711
fes=900	x=[0.0151,0.0185,-0.6967,0.6371,-0.9849,-0.1839,0.7027,-1.3335,-1.3227,0.8748,0.8357,-1.8839,-0.7527,0.6064,0.1414,0.1079,1.6825,0.0693,-1.4381,0.2669]	y=16.8711
